ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason,regime
4250.SR,2024-03-13 00:00:00+03:00,2024-03-31 00:00:00+03:00,28.6786496181488,27.172800762176514,583,-877.9098830318424,-0.05250766253022365,15,trailing_stop,BEAR
3020.SR,2023-12-20 00:00:00+03:00,2024-04-01 00:00:00+03:00,31.958356178283687,33.44427112197876,1367,2031.2457280311628,0.046495349617036386,102,trailing_stop,BULL
8210.SR,2024-01-02 00:00:00+03:00,2024-04-02 00:00:00+03:00,209.99688121032713,227.65093588256835,205,3619.081207809449,0.08406817553904244,90,trailing_stop,BULL
7020.SR,2024-01-15 00:00:00+03:00,2024-04-02 00:00:00+03:00,46.34047218704223,48.171060962677004,915,1674.9887297058171,0.03950302379842041,77,trailing_stop,BULL
1140.SR,2023-08-03 00:00:00+03:00,2024-04-03 00:00:00+03:00,26.756825004577635,30.53638289451599,1561,5899.889866193775,0.14125584366948396,243,trailing_stop,BULL
4310.SR,2024-03-11 00:00:00+03:00,2024-04-18 00:00:00+03:00,15.495479541778563,17.682300762176514,1028,2248.0522145690934,0.1411263984765294,37,trailing_stop,BEAR
1060.SR,2024-01-11 00:00:00+03:00,2024-04-22 00:00:00+03:00,32.42805987930298,35.443357223510745,1323,3989.2383863868754,0.09298420427958631,101,trailing_stop,BULL
1150.SR,2023-08-02 00:00:00+03:00,2024-04-25 00:00:00+03:00,26.8918113117218,30.302909173965453,1717,5856.855029472354,0.1268452252138479,266,trailing_stop,BULL
1321.SR,2024-03-27 00:00:00+03:00,2024-05-09 00:00:00+03:00,122.68750634765624,153.0057918548584,162,4911.562252166748,0.24711795365120603,42,take_profit,BEAR
1304.SR,2024-03-19 00:00:00+03:00,2024-05-12 00:00:00+03:00,35.84888527679443,39.91108351135254,535,2173.276055488589,0.11331449229713253,51,trailing_stop,BEAR
1320.SR,2024-03-31 00:00:00+03:00,2024-05-15 00:00:00+03:00,63.15129927062988,70.31499060058594,313,2242.235386276249,0.11343695874342408,44,trailing_stop,BEAR
4320.SR,2024-04-02 00:00:00+03:00,2024-05-15 00:00:00+03:00,25.997609363555906,25.26288550186157,860,-631.8625210571275,-0.02826120861421544,42,trailing_stop,BEAR
4001.SR,2024-04-25 00:00:00+03:00,2024-05-28 00:00:00+03:00,11.339979125022888,10.662860858917236,2194,-1485.5974758357993,-0.059710715393780256,32,trailing_stop,BEAR
7010.SR,2024-01-21 00:00:00+03:00,2024-07-22 00:00:00+03:00,35.38887295913696,34.773308795928955,1213,-746.6793299713115,-0.017394285597023385,182,time_exit,BULL
1180.SR,2024-01-29 00:00:00+03:00,2024-07-29 00:00:00+03:00,38.59919142913818,34.414845748901364,1081,-4523.277680335998,-0.10840500863647862,181,time_exit,BULL
3030.SR,2024-05-15 00:00:00+03:00,2024-08-05 00:00:00+03:00,40.8773385772705,38.17274942779541,621,-1679.5498618240313,-0.06616353323400936,81,trailing_stop,BEAR
1050.SR,2024-04-18 00:00:00+03:00,2024-08-06 00:00:00+03:00,15.670689099311828,15.294754251480102,1472,-553.3760960083002,-0.02398968197564677,109,trailing_stop,BEAR
1060.SR,2024-05-28 00:00:00+03:00,2024-08-06 00:00:00+03:00,34.25016214370727,33.26655823516845,715,-703.2767946052548,-0.02871822633749299,69,trailing_stop,BEAR
1010.SR,2024-03-05 00:00:00+03:00,2024-09-02 00:00:00+03:00,27.294551677703854,24.43338974761963,514,-1470.637232063292,-0.10482538654120588,180,time_exit,BEAR
1212.SR,2024-07-22 00:00:00+03:00,2024-09-03 00:00:00+03:00,161.15395866394041,163.77043757629394,467,1221.8956520690979,0.0162358959968818,42,trailing_stop,BULL
3060.SR,2024-03-12 00:00:00+03:00,2024-09-09 00:00:00+03:00,27.61268336486816,21.662371273040772,607,-3611.839439739225,-0.21549199015543774,180,time_exit,BEAR
1150.SR,2024-08-06 00:00:00+03:00,2024-09-09 00:00:00+03:00,29.05353775787353,28.564980949401857,710,-346.8753340148889,-0.016815742459428185,33,trailing_stop,BEAR
1180.SR,2024-08-06 00:00:00+03:00,2024-09-12 00:00:00+03:00,31.994273101806638,32.28884963607788,668,196.77712489318822,0.009207164461398687,36,trailing_stop,BEAR
3020.SR,2024-04-01 00:00:00+03:00,2024-09-30 00:00:00+03:00,33.51122661972045,30.62484110069275,618,-1783.7862507591217,-0.08613189698431223,181,time_exit,BEAR
1080.SR,2024-04-02 00:00:00+03:00,2024-09-30 00:00:00+03:00,19.793459140777586,17.439271253585815,1171,-2756.754015901563,-0.11893766877472056,180,time_exit,BEAR
4250.SR,2024-04-03 00:00:00+03:00,2024-10-01 00:00:00+03:00,30.330299236297606,25.024949237823485,766,-4063.8980988311764,-0.17491914461974623,180,time_exit,BEAR
1320.SR,2024-07-29 00:00:00+03:00,2024-10-01 00:00:00+03:00,67.98183145904541,66.91276421356201,1049,-1121.4515405120821,-0.015725778822646697,63,trailing_stop,BULL
1120.SR,2024-03-17 00:00:00+03:00,2024-10-06 00:00:00+03:00,80.95637904357909,78.19545368957519,222,-612.9254285888662,-0.03410386416267075,200,trailing_stop,BEAR
4300.SR,2024-09-09 00:00:00+03:00,2024-10-07 00:00:00+03:00,13.913899618148802,13.726259771347046,1632,-306.2282299804668,-0.013485784140414903,27,trailing_stop,BEAR
2270.SR,2024-09-09 00:00:00+03:00,2024-10-07 00:00:00+03:00,337.82589172363276,350.6370795593262,64,819.9160214843796,0.03792245695061758,27,trailing_stop,BEAR
4310.SR,2024-04-22 00:00:00+03:00,2024-10-21 00:00:00+03:00,17.5175,14.525459961891174,1364,-4081.142611980436,-0.17080291354981159,181,time_exit,BEAR
6010.SR,2024-05-09 00:00:00+03:00,2024-11-06 00:00:00+03:00,32.43240152740478,25.874099618911742,767,-5030.217563814158,-0.2022145015364154,180,time_exit,BEAR
2330.SR,2024-05-12 00:00:00+03:00,2024-11-11 00:00:00+03:00,39.63959847259521,35.814148475646974,624,-2387.0807980956997,-0.09650577060191357,182,time_exit,BEAR
4006.SR,2024-05-15 00:00:00+03:00,2024-11-12 00:00:00+03:00,24.524499999999996,22.4775,1000,-2046.999999999997,-0.08346755285530782,180,time_exit,BEAR
4031.SR,2024-10-06 00:00:00+03:00,2024-11-14 00:00:00+03:00,46.29142721939086,46.39063187026978,494,49.007097534185135,0.0021430458475335534,38,trailing_stop,BEAR
7010.SR,2024-08-05 00:00:00+03:00,2024-11-17 00:00:00+03:00,33.53362219238281,36.559930572509764,1977,5983.011667510992,0.09024698741952153,101,trailing_stop,BULL
4003.SR,2024-09-12 00:00:00+03:00,2024-12-10 00:00:00+03:00,84.6279317550659,85.08779303741456,258,118.64421084595293,0.005433918480716393,88,trailing_stop,BEAR
2050.SR,2024-09-30 00:00:00+03:00,2024-12-22 00:00:00+03:00,28.93520207214355,37.662300762176514,778,6789.6827808456455,0.3016083547048978,80,take_profit,BEAR
3020.SR,2024-10-07 00:00:00+03:00,2025-01-28 00:00:00+03:00,29.176199817657466,36.652588371276856,811,6063.3511169853255,0.256249566439241,112,take_profit,BEAR
8210.SR,2024-10-06 00:00:00+03:00,2025-01-30 00:00:00+03:00,197.66068954467772,181.64074822998046,120,-1922.3929577636716,-0.08104768505867344,115,trailing_stop,BEAR
3060.SR,2024-10-07 00:00:00+03:00,2025-02-24 00:00:00+03:00,20.615913158416745,21.27770650291443,1108,733.2670257034349,0.03210109294758534,136,trailing_stop,BEAR
1321.SR,2024-11-06 00:00:00+03:00,2025-02-24 00:00:00+03:00,152.24043673706052,147.03913874816894,148,-769.7921023559542,-0.034165022778244625,106,trailing_stop,BEAR
2350.SR,2024-09-02 00:00:00+03:00,2025-03-03 00:00:00+03:00,8.488479541778563,5.9040898475646975,2399,-6199.950876419064,-0.3044584935964123,181,time_exit,BEAR
7020.SR,2024-12-22 00:00:00+03:00,2025-03-10 00:00:00+03:00,49.91264048767089,55.56056042861938,455,2569.803573131563,0.11315610406032528,77,trailing_stop,BEAR
1140.SR,2024-09-03 00:00:00+03:00,2025-03-11 00:00:00+03:00,31.155617137908934,30.893613121032715,716,-187.59487608337264,-0.00840952742860046,188,trailing_stop,BEAR
4300.SR,2025-01-30 00:00:00+03:00,2025-03-27 00:00:00+03:00,16.516499999999997,21.378599618911743,3877,18850.360222520838,0.29437832585061896,55,take_profit,BULL
1010.SR,2024-11-14 00:00:00+03:00,2025-04-03 00:00:00+03:00,24.718165380477902,30.694736497879028,915,5468.56257242203,0.24178862085457786,133,take_profit,BEAR
1050.SR,2024-10-01 00:00:00+03:00,2025-04-07 00:00:00+03:00,14.962852491378783,15.853175259590149,1661,1478.8261179990789,0.059502208467559825,187,trailing_stop,BEAR
1150.SR,2024-10-06 00:00:00+03:00,2025-04-07 00:00:00+03:00,26.2053936920166,27.340410999298097,938,1064.6462342300447,0.043312354724412305,182,trailing_stop,BEAR
4250.SR,2024-10-21 00:00:00+03:00,2025-04-07 00:00:00+03:00,23.022999999999996,22.737240228652954,987,-282.04489431953033,-0.012411925958695336,167,trailing_stop,BEAR
1060.SR,2024-11-17 00:00:00+03:00,2025-04-07 00:00:00+03:00,29.913697671890255,30.841223012924193,814,755.0056276016256,0.031006709742390948,140,trailing_stop,BEAR
3050.SR,2025-03-03 00:00:00+03:00,2025-04-07 00:00:00+03:00,30.42298597717285,30.169423484802245,1682,-426.492112167358,-0.008334569544253823,34,trailing_stop,BULL
4002.SR,2025-03-10 00:00:00+03:00,2025-04-07 00:00:00+03:00,70.00058708953857,67.26972958374023,692,-1889.7533940124515,-0.039011922890093365,27,trailing_stop,BULL
3030.SR,2025-03-11 00:00:00+03:00,2025-05-08 00:00:00+03:00,38.91027032470703,40.822010204315184,1174,2244.382618659975,0.04913201228505093,57,trailing_stop,BULL
2030.SR,2025-04-07 00:00:00+03:00,2025-05-11 00:00:00+03:00,58.25820076370238,58.341601524353024,312,26.021037322999803,0.0014315711703647427,31,trailing_stop,BEAR
1211.SR,2024-11-11 00:00:00+03:00,2025-05-12 00:00:00+03:00,52.552499999999995,50.949,430,-689.5049999999986,-0.030512344798058977,181,time_exit,BEAR
2270.SR,2024-11-12 00:00:00+03:00,2025-05-12 00:00:00+03:00,329.61648812866207,289.92972024536135,68,-2698.700216064449,-0.12040286002868106,180,time_exit,BEAR
4250.SR,2025-04-07 00:00:00+03:00,2025-05-20 00:00:00+03:00,22.782760229110714,24.075900381088257,889,1149.6015951080356,0.05675959097902594,42,trailing_stop,BEAR
4003.SR,2025-04-07 00:00:00+03:00,2025-05-20 00:00:00+03:00,88.08241733551024,85.26924440002442,222,-624.5243916778529,-0.03193796242864577,42,trailing_stop,BEAR
8010.SR,2025-04-07 00:00:00+03:00,2025-05-28 00:00:00+03:00,129.65428977966306,135.864,145,900.407981948857,0.047894367636349244,50,trailing_stop,BEAR
2330.SR,2024-12-10 00:00:00+03:00,2025-06-12 00:00:00+03:00,33.683651527404784,28.571400381088257,2162,-11052.686978336333,-0.15177247461301024,183,time_exit,BULL
1212.SR,2025-03-27 00:00:00+03:00,2025-06-15 00:00:00+03:00,153.10607812499998,145.854,323,-2342.42123437499,-0.047366363333264716,77,trailing_stop,BULL
1304.SR,2025-01-28 00:00:00+03:00,2025-07-28 00:00:00+03:00,38.70890491485595,34.38557817077637,1782,-7704.168257949811,-0.11168816977874119,180,time_exit,BULL
1320.SR,2025-02-24 00:00:00+03:00,2025-08-25 00:00:00+03:00,61.24910371780395,50.34960152435303,1013,-11041.195721965783,-0.1779536602473195,181,time_exit,BULL
3060.SR,2025-02-24 00:00:00+03:00,2025-08-25 00:00:00+03:00,21.320304513931273,15.430832293510438,2605,-15342.075134196275,-0.27623771586247714,181,time_exit,BULL
1180.SR,2025-05-08 00:00:00+03:00,2025-09-15 00:00:00+03:00,34.24184924316406,33.646320304870606,1632,-971.9032272949189,-0.017391845109310022,129,trailing_stop,BULL
2290.SR,2025-06-12 00:00:00+03:00,2025-09-25 00:00:00+03:00,28.34878173446655,35.58437893295288,1524,11027.05013049317,0.255234855108051,104,take_profit,BULL
3020.SR,2025-04-03 00:00:00+03:00,2025-10-01 00:00:00+03:00,38.86912585830688,31.708259771347045,1217,-8714.774027830119,-0.1842301808655019,180,time_exit,BULL
1140.SR,2025-04-07 00:00:00+03:00,2025-10-06 00:00:00+03:00,28.45442468643188,29.210759771347046,738,558.1752926673915,0.026580579057562614,181,time_exit,BEAR
1211.SR,2025-05-20 00:00:00+03:00,2025-10-07 00:00:00+03:00,53.15309847259521,66.58335152435303,845,11348.563828735361,0.2526711224310323,139,take_profit,BULL
4300.SR,2025-09-15 00:00:00+03:00,2025-10-16 00:00:00+03:00,16.62661061096191,18.351630838394165,922,1590.4686496925374,0.10375056394806936,30,trailing_stop,BEAR
8010.SR,2025-08-25 00:00:00+03:00,2025-10-22 00:00:00+03:00,121.2210984725952,128.3715,414,2960.2662323455856,0.05898644392354946,57,trailing_stop,BULL
5110.SR,2025-04-07 00:00:00+03:00,2025-11-06 00:00:00+03:00,13.959769493103027,14.595389657020569,1259,800.2457863721854,0.045532282193597506,212,trailing_stop,BEAR
1120.SR,2025-05-28 00:00:00+03:00,2025-11-06 00:00:00+03:00,92.54485260772704,102.49739847564697,137,1363.4987839050314,0.10754294363735317,161,trailing_stop,BEAR
2010.SR,2025-06-15 00:00:00+03:00,2025-11-06 00:00:00+03:00,52.9735825881958,57.942,823,4089.00752991486,0.09379047383726169,143,trailing_stop,BULL
1060.SR,2025-05-11 00:00:00+03:00,2025-11-10 00:00:00+03:00,33.16970272827148,31.708259771347045,1566,-2288.6196705436673,-0.04405957354808632,182,time_exit,BULL
4040.SR,2025-05-12 00:00:00+03:00,2025-11-10 00:00:00+03:00,15.235220267295835,11.828160152435302,3338,-11372.76666340446,-0.22363051239726295,181,time_exit,BULL
1150.SR,2025-05-13 00:00:00+03:00,2025-11-10 00:00:00+03:00,27.236468292236324,25.19477931404114,1671,-3411.6622825641557,-0.07496159033134131,180,time_exit,BULL
4250.SR,2025-05-20 00:00:00+03:00,2025-11-17 00:00:00+03:00,24.124100381851193,15.56441992378235,1667,-14268.987323600762,-0.35481863872977326,180,time_exit,BULL
1180.SR,2025-10-16 00:00:00+03:00,2025-11-17 00:00:00+03:00,38.658618930816644,38.04192182922363,1079,-665.4161726188595,-0.015952383159280714,31,trailing_stop,BULL
4300.SR,2025-11-06 00:00:00+03:00,2025-11-20 00:00:00+03:00,16.516499999999997,16.25373045730591,2537,-666.6463298148999,-0.015909517312632016,13,trailing_stop,BULL
4009.SR,2025-07-28 00:00:00+03:00,2026-01-26 00:00:00+03:00,57.3572992362976,36.32364060974121,792,-16658.65763223266,-0.3667128492208641,181,time_exit,BULL
3040.SR,2025-08-26 00:00:00+03:00,2026-02-05 00:00:00+03:00,41.82055303573608,42.41999816894531,1075,644.4035181999219,0.014333744766526602,163,still_open,BULL
2290.SR,2025-10-09 00:00:00+03:00,2026-02-05 00:00:00+03:00,34.35431969451904,26.520000457763672,1813,-14203.620776237485,-0.22804466240108,119,still_open,BULL
3050.SR,2025-10-12 00:00:00+03:00,2026-02-05 00:00:00+03:00,26.60536754608154,21.649999618530273,2096,-10386.451176147451,-0.18625444354295706,116,still_open,BULL
4006.SR,2025-10-12 00:00:00+03:00,2026-02-05 00:00:00+03:00,16.93692007637024,13.550000190734863,2946,-9977.865983081816,-0.19997259657384103,116,still_open,BULL
2280.SR,2025-10-12 00:00:00+03:00,2026-02-05 00:00:00+03:00,49.02897954177856,41.7400016784668,910,-6632.9698556137055,-0.1486667259125939,116,still_open,BULL
1010.SR,2025-10-22 00:00:00+03:00,2026-02-05 00:00:00+03:00,27.34731969451904,28.760000228881836,1570,2217.9084389495893,0.05165700149568675,106,still_open,BULL
1320.SR,2025-11-06 00:00:00+03:00,2026-02-05 00:00:00+03:00,48.8487992362976,39.79999923706055,958,-8668.750399269098,-0.18524099140011718,91,still_open,BULL
4001.SR,2025-11-06 00:00:00+03:00,2026-02-05 00:00:00+03:00,6.876525264739989,6.46999979019165,5453,-2216.7834127120905,-0.05911786242287731,91,still_open,BULL
2330.SR,2025-11-10 00:00:00+03:00,2026-02-05 00:00:00+03:00,36.43640152740478,24.5,1298,-15493.449182571409,-0.32759550962866346,87,still_open,BULL
4007.SR,2025-11-10 00:00:00+03:00,2026-02-05 00:00:00+03:00,29.828185914993284,26.260000228881836,1420,-5066.8236742782565,-0.11962462941193763,87,still_open,BULL
2380.SR,2025-11-10 00:00:00+03:00,2026-02-05 00:00:00+03:00,8.698689579963682,6.96999979019165,4357,-7531.901414036743,-0.19872990912951394,87,still_open,BULL
4320.SR,2025-11-17 00:00:00+03:00,2026-02-05 00:00:00+03:00,18.818799236297604,17.170000076293945,725,-1195.3793910026525,-0.08761447206596817,80,still_open,BEAR
6010.SR,2025-11-17 00:00:00+03:00,2026-02-05 00:00:00+03:00,19.29928068733215,17.600000381469727,682,-1158.9091685981728,-0.08804889329257815,80,still_open,BEAR
4190.SR,2025-11-20 00:00:00+03:00,2026-02-05 00:00:00+03:00,13.203189579963682,14.3100004196167,1071,1185.394409268381,0.08382905001475116,77,still_open,BEAR
1321.SR,2026-01-26 00:00:00+03:00,2026-02-05 00:00:00+03:00,132.93280305480957,159.8000030517578,330,8866.175998992921,0.20211113720268603,10,still_open,BULL
