ticker,name,sector,current_price,score,regime,leverage,signal,signal_strength,entry_price,take_profit,trailing_stop,position_size_pct,recommendation,details
1180.SR,Al Rajhi Bank,Banks,43.5,69.7,BULL,1.5,MOMENTUM_ENTRY,0.67,43.59,54.48,40.54,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(89.7), 'volatility': np.float64(53.6), 'volume': np.float64(61.4), 'rsi': 20, 'trend': np.float64(97.6), 'beta': 80}, 'rsi': np.float64(62.2), 'momentum': np.float64(7.94), 'volatility': np.float64(23.18), 'volume_ratio': np.float64(1.54), 'ma_50': np.float64(39.83), 'trend_strength': np.float64(9.22)}"
1010.SR,Riyad Bank,Banks,28.76,66.2,BULL,1.5,MOMENTUM_ENTRY,0.67,28.82,36.02,26.8,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(85.8), 'volatility': np.float64(60.7), 'volume': np.float64(46.3), 'rsi': 20, 'trend': np.float64(90.2), 'beta': 80}, 'rsi': np.float64(73.8), 'momentum': np.float64(7.15), 'volatility': np.float64(19.65), 'volume_ratio': np.float64(1.16), 'ma_50': np.float64(26.94), 'trend_strength': np.float64(6.74)}"
1150.SR,Alinma Bank,Banks,28.54,66.3,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,0.67,28.6,35.75,26.6,6.3,BUY,"{'score_breakdown': {'momentum': 100, 'volatility': np.float64(46.3), 'volume': np.float64(29.2), 'rsi': 20, 'trend': 100, 'beta': 80}, 'rsi': np.float64(69.8), 'momentum': np.float64(13.34), 'volatility': np.float64(26.86), 'volume_ratio': np.float64(0.73), 'ma_50': np.float64(25.54), 'trend_strength': np.float64(11.74)}"
7010.SR,STC,Telecom,44.28,58.5,BULL,1.5,MOMENTUM_ENTRY,0.67,44.37,55.46,41.26,6.0,HOLD,"{'score_breakdown': {'momentum': np.float64(66.3), 'volatility': np.float64(72.9), 'volume': np.float64(26.0), 'rsi': 40, 'trend': np.float64(77.2), 'beta': 60}, 'rsi': np.float64(54.1), 'momentum': np.float64(3.26), 'volatility': np.float64(13.56), 'volume_ratio': np.float64(0.65), 'ma_50': np.float64(43.24), 'trend_strength': np.float64(2.4)}"
2010.SR,SABIC,Materials,55.5,63.6,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,55.61,69.51,51.72,6.3,BUY,"{'score_breakdown': {'momentum': np.float64(95.2), 'volatility': np.float64(39.4), 'volume': np.float64(41.9), 'rsi': 50, 'trend': np.float64(79.3), 'beta': 60}, 'rsi': np.float64(47.7), 'momentum': np.float64(9.04), 'volatility': np.float64(30.31), 'volume_ratio': np.float64(1.05), 'ma_50': np.float64(53.84), 'trend_strength': np.float64(3.09)}"
1211.SR,Maaden,Materials,72.55,57.2,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,72.7,90.87,67.61,4.2,HOLD,"{'score_breakdown': {'momentum': 100, 'volatility': 0, 'volume': np.float64(34.9), 'rsi': 40, 'trend': 100, 'beta': 40}, 'rsi': np.float64(50.3), 'momentum': np.float64(14.25), 'volatility': np.float64(59.53), 'volume_ratio': np.float64(0.87), 'ma_50': np.float64(65.75), 'trend_strength': np.float64(10.34)}"
4190.SR,Jarir Marketing,Retail,14.31,68.2,BULL,1.5,MOMENTUM_ENTRY,0.67,14.34,17.92,13.33,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(92.0), 'volatility': np.float64(76.1), 'volume': np.float64(48.3), 'rsi': 20, 'trend': np.float64(95.5), 'beta': 60}, 'rsi': np.float64(76.2), 'momentum': np.float64(8.41), 'volatility': np.float64(11.97), 'volume_ratio': np.float64(1.21), 'ma_50': np.float64(13.19), 'trend_strength': np.float64(8.5)}"
2280.SR,Almarai,Food,41.74,56.9,BEAR_HIGH_VOL,0.35,NONE,0.0,41.82,52.28,38.9,3.0,HOLD,"{'score_breakdown': {'momentum': np.float64(52.9), 'volatility': np.float64(44.1), 'volume': np.float64(36.4), 'rsi': 70, 'trend': np.float64(58.8), 'beta': 80}, 'rsi': np.float64(36.3), 'momentum': np.float64(0.58), 'volatility': np.float64(27.96), 'volume_ratio': np.float64(0.91), 'ma_50': np.float64(43.46), 'trend_strength': np.float64(-3.95)}"
8210.SR,Bupa Arabia,Insurance,162.0,50.8,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,0.67,162.32,202.91,150.96,4.2,HOLD,"{'score_breakdown': {'momentum': 100, 'volatility': 0, 'volume': np.float64(11.7), 'rsi': 20, 'trend': 100, 'beta': 40}, 'rsi': np.float64(78.1), 'momentum': np.float64(20.63), 'volatility': np.float64(51.56), 'volume_ratio': np.float64(0.29), 'ma_50': np.float64(145.31), 'trend_strength': np.float64(11.48)}"
2222.SR,Saudi Aramco,Energy,25.6,70.8,BULL,1.5,MOMENTUM_ENTRY,0.67,25.65,32.06,23.86,10.0,BUY,"{'score_breakdown': {'momentum': np.float64(91.2), 'volatility': np.float64(64.5), 'volume': np.float64(73.2), 'rsi': 20, 'trend': np.float64(84.6), 'beta': 80}, 'rsi': np.float64(63.6), 'momentum': np.float64(8.25), 'volatility': np.float64(17.77), 'volume_ratio': np.float64(1.83), 'ma_50': np.float64(24.41), 'trend_strength': np.float64(4.87)}"
2082.SR,ACWA Power,Utilities,187.2,59.6,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,1.0,187.57,234.47,174.44,4.2,HOLD,"{'score_breakdown': {'momentum': np.float64(98.0), 'volatility': np.float64(34.1), 'volume': np.float64(32.4), 'rsi': 40, 'trend': np.float64(75.2), 'beta': 60}, 'rsi': np.float64(53.9), 'momentum': np.float64(9.6), 'volatility': np.float64(32.97), 'volume_ratio': np.float64(0.81), 'ma_50': np.float64(184.04), 'trend_strength': np.float64(1.72)}"
