ticker,name,screening_score,recommendation,beta,hurst,current_price,total_trades,win_rate,profit_factor,total_return,sharpe_ratio,max_drawdown,hit_rate_5d,hit_rate_10d,hit_rate_20d,avg_signal_return,lift
1180.SR,The Saudi National Bank,68.0234467017017,GOOD,1.0,0.9848068719065758,44.86000061035156,57,0.4035087719298245,1.9573642718762805,-0.005447576607988,-3.6347624435420296,0.0267612452167768,0.603448275862069,0.5344827586206896,0.5087719298245614,0.0039667805312283,0.0802828991439912
4300.SR,Dar Alarkan Real Estate Develo,63.87839472676367,GOOD,1.0,1.0095052592328315,18.6200008392334,54,0.5370370370370371,1.8681973895614288,-0.0045013601744819,-2.80453030220597,0.0252785379774836,0.543859649122807,0.5263157894736842,0.5535714285714286,0.0055157377104501,0.0335203475410331
1060.SR,Saudi Awwal Bank,62.659757787569205,GOOD,1.0,1.0032910866794196,35.68000030517578,55,0.4181818181818181,1.1825633302143417,-0.0060907207582976,-4.887157978833021,0.0178791497781293,0.4727272727272727,0.4909090909090909,0.4444444444444444,-0.0021684626315713,-0.1076315206107701
7020.SR,Etihad Etisalat Co.,61.95691290762949,GOOD,1.0,1.0084735834392218,70.4000015258789,44,0.4090909090909091,1.98265392611678,0.0118275202882294,-1.8890194830450733,0.0281440331005869,0.4897959183673469,0.6122448979591837,0.6041666666666666,0.0035332890012346,-0.0447290733150132
1150.SR,Alinma Bank,61.59793764867545,GOOD,1.0,1.0215379979146382,28.479999542236328,54,0.3703703703703703,1.016740689461639,-0.0062203230980809,-4.219861546689248,0.0139416457959305,0.5283018867924528,0.6226415094339622,0.5576923076923077,0.0060577254461486,0.088619360608901
4190.SR,Jarir Marketing Co.,61.24096454728513,GOOD,1.0,1.0072776765140523,14.270000457763672,50,0.3,0.4653438979618423,-0.0066878580678935,-11.307138007443784,0.008173664970704,0.4489795918367347,0.4897959183673469,0.5416666666666666,0.0020621399587517,0.1121693821430294
1010.SR,Riyad Bank,60.79867007991099,GOOD,1.0,1.0159979750302537,28.100000381469727,51,0.4313725490196078,3.2178240740873894,-0.0035425388486529,-2.874861804238527,0.0237780871017046,0.56,0.44,0.5510204081632653,0.0018813125780678,0.0007030006580591
4280.SR,Kingdom Holding Co.,60.68476033775544,GOOD,1.0,0.9957983702404098,8.079999923706055,52,0.3076923076923077,0.1350159746181396,-0.0089605486864466,-5.465231545438356,0.0136376423838206,0.4181818181818181,0.3333333333333333,0.4444444444444444,-0.0059188834279906,-0.1663627566297273
2380.SR,Rabigh Refining and Petrochemi,59.8100441460277,MODERATE,1.0,1.02127293303206,7.130000114440918,48,0.3958333333333333,0.9706577551421417,-0.0055774269550800115,-5.629285643937657,0.012135206437307493,0.4166666666666667,0.4166666666666667,0.48936170212765956,0.003053419017332299,0.1263013415182144
2222.SR,Saudi Arabian Oil Co.,59.71282564009388,MODERATE,1.0,1.009930862236322,25.799999237060547,47,0.3617021276595745,1.901426667608795,-0.00465022678059801,-4.034056118850266,0.028233734127459578,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.001610479185910026,0.04350620446262677
7010.SR,Saudi Telecom Co.,59.575714834086384,MODERATE,1.0,1.0313737379140142,44.400001525878906,47,0.3829787234042553,0.5540803770955772,0.0010228538123886466,-2.956270846229193,0.021609998160582036,0.5208333333333334,0.5416666666666666,0.5531914893617021,0.0020315405952728433,0.06049420521918707
1320.SR,Saudi Steel Pipe Co.,58.37512976898267,MODERATE,1.0,0.9943215740778812,41.119998931884766,48,0.4583333333333333,2.0200677510174483,-0.0037697887914706074,-5.425159117634959,0.010172307504814014,0.625,0.5,0.5416666666666666,0.008509484788540677,0.10971239775891552
1140.SR,Bank Albilad,58.16114035773218,MODERATE,1.0,1.0158212829492097,26.579999923706055,46,0.45652173913043476,2.863019522797112,-0.0028341192456865505,-3.515504771114185,0.019933076653762608,0.5652173913043478,0.5434782608695652,0.6086956521739131,0.009828189440910627,0.19784209686128268
2050.SR,Savola Group,55.50209256728057,MODERATE,1.0,1.002506014137467,23.829999923706055,42,0.2857142857142857,0.5900739155962068,-0.006245560318222099,-3.644951029149961,0.019751816455583604,0.42857142857142855,0.5238095238095238,0.5121951219512195,-0.0043036713157395285,-0.12004257541086666
1050.SR,Banque Saudi Fransi,55.40923236322969,MODERATE,1.0,1.0208684122198952,18.049999237060547,57,0.3508771929824561,1.0373566444847284,-0.00676137296970003,-2.5676206511848823,0.022394023970676878,0.543859649122807,0.543859649122807,0.5,0.0031265497352912335,0.0493964724189051
4009.SR,Middle East Healthcare Co.,55.20206688452412,MODERATE,1.0,0.9997563948029377,35.540000915527344,45,0.4444444444444444,2.900293442638602,-0.001254636218641192,-3.634901119334676,0.019548869788446548,0.5555555555555556,0.5555555555555556,0.5333333333333333,0.011553547256714257,0.18024754035626042
2010.SR,Saudi Basic Industries Corp.,54.45820806611466,MODERATE,1.0,1.0046985973181493,56.849998474121094,57,0.45614035087719296,1.3358473028160074,-0.006262394375018299,-4.850231394541353,0.024672728382074422,0.46551724137931033,0.43103448275862066,0.42105263157894735,-0.0005206426977054951,0.060725071833966776
1080.SR,Arab National Bank,54.1975324438265,MODERATE,1.0,0.990665390621192,22.799999237060547,55,0.32727272727272727,1.0176888449710337,-0.006328539297316582,-2.9692313222254523,0.02495454037334347,0.5454545454545454,0.5818181818181818,0.5185185185185185,0.002463807326521601,-0.011912891275028665
4003.SR,United Electronics Co.,54.12100084295249,MODERATE,1.0,0.9989312692902962,87.94999694824219,54,0.2777777777777778,0.1774023510976317,-0.010191204313076407,-3.750223063258828,0.024282605035747196,0.5454545454545454,0.4,0.509090909090909,0.0017034638061807121,0.04220765443551587
3020.SR,Yamama Cement Co.,53.94899630826734,MODERATE,1.0,0.981732370988265,26.8799991607666,44,0.5909090909090909,1.5578186285910665,-0.0038388733402214825,-2.7859306582066843,0.019290677002670703,0.6363636363636364,0.6590909090909091,0.5454545454545454,0.01358326638953251,0.3423015865770186
7030.SR,Mobile Telecommunication Compa,52.973171556377416,MODERATE,1.0,1.012416331380805,10.960000038146973,47,0.3404255319148936,0.2255941842886311,-0.007935950079984044,-4.824055659391616,0.01703511331657596,0.48936170212765956,0.5106382978723404,0.5217391304347826,0.004196057828142843,0.12427805349931009
4002.SR,Mouwasat Medical Services Co.,52.287261165251394,MODERATE,1.0,1.017571102670341,69.5999984741211,45,0.4666666666666667,1.7905271651117358,-0.0035990329887880534,-2.890208225677856,0.01775062592494059,0.5434782608695652,0.4782608695652174,0.5,0.0012046642009296137,0.03412247679934401
4310.SR,Knowledge Economic City,52.21046832879915,MODERATE,1.0,1.0032875657567155,12.619999885559082,45,0.37777777777777777,0.4967504737658413,-0.006196409503164357,-9.909437098142917,0.012168209647541355,0.4666666666666667,0.5,0.45454545454545453,0.004282584535988053,0.1389712840862263
2040.SR,Saudi Ceramic Co.,51.870579637067,MODERATE,1.0,0.995861835799606,27.799999237060547,44,0.3409090909090909,0.5698411269441472,-0.0058012338803532515,-7.929978746516476,0.018825596076688964,0.5454545454545454,0.5454545454545454,0.5,-0.001805410694543927,-0.00576911075172154
2250.SR,Saudi Industrial Investment Gr,51.794051456255886,MODERATE,1.0,1.0151531983352058,12.510000228881836,71,0.323943661971831,0.6586201466031839,-0.009775437348457205,-3.39067935824717,0.028175263646590575,0.3194444444444444,0.323943661971831,0.30985915492957744,-0.01350235126536824,-0.152493273405058
4031.SR,Saudi Ground Services Co.,51.752763103251816,MODERATE,1.0,0.988633480945573,36.97999954223633,48,0.3333333333333333,0.49563388482043136,-0.007571121042395101,-3.796194131239283,0.017064230044616085,0.5714285714285714,0.3877551020408163,0.40816326530612246,0.005366437433975051,0.0920372968065857
2100.SR,Wafrah for Industry and Develo,51.702701957448696,MODERATE,1.0,1.0109984533038407,22.709999084472656,50,0.34,0.35483485999372394,-0.007529939812791597,-17.271979894586327,0.007976551384368235,0.46,0.42,0.5,-0.005451856963873356,-0.046127861443507404
2060.SR,National Industrialization Co.,51.19455098889125,MODERATE,1.0,1.021530613879517,9.319999694824219,50,0.42,0.8129922694118328,-0.0062036335221840044,-11.642660191680852,0.012924508758210478,0.44,0.44,0.46938775510204084,-7.897730136679826e-05,0.075466033868506
